# lon	lat	azimuth	mean_resultant_vector	p_rayleigh	num_measurements
-16.9937	65.0391	341.29	0.46	0.639	12
-16.9951	65.0570	352.64	0.42	0.691	16
-16.9964	65.0749	343.98	0.48	0.650	21
-16.9977	65.0929	352.64	0.42	0.821	16
-16.9991	65.1108	14.59	0.20	0.926	39
-17.0004	65.1287	274.16	0.18	0.962	33
-17.0018	65.1467	8.53	0.97	0.743	15
-17.0031	65.1646	299.16	0.81	0.938	7
-17.0045	65.1826	296.85	0.85	0.267	33
-17.0059	65.2005	81.60	0.52	0.996	6
-16.9434	64.9320	65.73	0.58	0.000	2247
-16.9447	64.9500	71.09	0.57	0.000	384
-16.9460	64.9679	63.87	0.42	0.063	57
-16.9473	64.9858	337.90	0.35	0.172	33
-16.9486	65.0038	283.21	0.65	0.000	19998
-16.9500	65.0217	281.23	0.46	0.000	1479
-16.9513	65.0396	69.42	0.54	0.000	1068
-16.9526	65.0576	302.57	0.22	0.178	159
-16.9539	65.0755	57.66	0.32	0.000	758
-16.9552	65.0934	290.06	0.15	0.363	293
-16.9565	65.1114	289.43	0.20	0.317	302
-16.9578	65.1293	289.97	0.18	0.464	341
-16.9592	65.1472	77.62	0.23	0.261	385
-16.9605	65.1652	87.86	0.43	0.020	348
-16.9618	65.1831	292.81	0.37	0.292	162
-16.9631	65.2010	32.28	0.39	0.993	5
-16.9012	64.9326	34.64	0.51	0.000	109
-16.9024	64.9505	66.69	0.60	0.000	3336
-16.9037	64.9684	288.63	0.23	0.490	83
-16.9050	64.9864	276.35	0.65	0.000	2418
-16.9063	65.0043	283.87	0.67	0.000	17548
-16.9075	65.0222	273.09	0.50	0.000	2153
-16.9088	65.0402	85.44	0.44	0.000	2485
-16.9101	65.0581	79.63	0.22	0.000	1438
-16.9114	65.0761	57.72	0.34	0.000	4467
-16.9127	65.0940	73.68	0.42	0.000	945
-16.9140	65.1119	79.44	0.46	0.000	644
-16.9153	65.1299	76.93	0.44	0.000	3945
-16.9165	65.1478	270.79	0.37	0.032	349
-16.9178	65.1657	280.83	0.35	0.053	382
-16.9191	65.1837	76.31	0.56	0.161	81
-16.9204	65.2016	50.78	0.45	0.995	6
-16.8589	64.9331	70.63	0.53	0.000	753
-16.8601	64.9510	70.11	0.52	0.000	4842
-16.8614	64.9690	70.85	0.41	0.000	2451
-16.8626	64.9869	276.32	0.69	0.000	15798
-16.8639	65.0048	283.89	0.61	0.000	18720
-16.8651	65.0228	286.91	0.18	0.000	2564
-16.8664	65.0407	279.57	0.30	0.000	3192
-16.8676	65.0587	75.30	0.31	0.000	4058
-16.8689	65.0766	61.87	0.32	0.000	4511
-16.8701	65.0945	65.44	0.38	0.000	3252
-16.8714	65.1125	67.67	0.46	0.000	4174
-16.8727	65.1304	82.92	0.45	0.000	3959
-16.8739	65.1483	25.95	0.09	0.755	337
-16.8752	65.1663	85.54	0.46	0.006	261
-16.8765	65.1842	80.12	0.26	0.676	89
-16.8777	65.2021	31.00	1.00	0.732	1
-16.8154	64.9157	53.16	0.66	0.000	155
-16.8166	64.9336	53.98	0.65	0.000	1590
-16.8178	64.9516	69.60	0.56	0.000	6178
-16.8190	64.9695	68.23	0.57	0.000	5780
-16.8202	64.9874	58.70	0.24	0.000	11822
-16.8215	65.0054	58.28	0.56	0.000	30879
-16.8227	65.0233	289.24	0.23	0.000	4015
-16.8239	65.0412	276.52	0.26	0.000	3025
-16.8251	65.0592	76.89	0.25	0.000	4298
-16.8264	65.0771	41.09	0.16	0.000	7734
-16.8276	65.0951	70.51	0.42	0.000	6500
-16.8288	65.1130	81.66	0.41	0.000	7887
-16.8301	65.1309	67.82	0.31	0.000	4414
-16.8313	65.1489	88.89	0.40	0.000	4596
-16.8325	65.1668	68.27	0.71	0.000	657
-16.8338	65.1847	272.53	0.60	0.627	22
-16.7731	64.9162	68.56	0.52	0.000	15661
-16.7743	64.9341	68.92	0.55	0.000	25322
-16.7755	64.9521	64.80	0.51	0.000	6277
-16.7767	64.9700	67.66	0.56	0.000	7811
-16.7779	64.9879	59.71	0.40	0.000	8216
-16.7791	65.0059	62.21	0.54	0.000	53612
-16.7803	65.0238	279.70	0.32	0.000	8311
-16.7814	65.0418	55.44	0.18	0.000	3494
-16.7826	65.0597	84.39	0.09	0.000	5404
-16.7838	65.0776	35.11	0.17	0.000	11557
-16.7850	65.0956	66.31	0.44	0.000	8758
-16.7863	65.1135	77.92	0.49	0.000	10360
-16.7875	65.1314	78.44	0.53	0.000	8199
-16.7887	65.1494	81.13	0.48	0.000	3690
-16.7899	65.1673	80.45	0.68	0.000	218
