# lon	lat	azimuth	mean_resultant_vector	p_rayleigh	num_measurements
-16.9748	64.9271	65.79	0.58	0.000	769
-16.9768	64.9540	51.24	0.99	0.001	7
-16.9788	64.9809	344.00	1.00	0.157	2
-16.9808	65.0078	283.23	0.65	0.000	10661
-16.9828	65.0347	69.34	0.54	0.000	544
-16.9848	65.0616	289.65	0.49	0.000	144
-16.9868	65.0885	290.07	0.43	0.000	157
-16.9888	65.1154	303.05	0.39	0.000	292
-16.9908	65.1423	302.32	0.52	0.000	253
-16.9928	65.1692	283.36	0.54	0.000	223
-16.9948	65.1961	278.84	0.30	0.011	88
-16.9114	64.9279	65.19	0.58	0.000	1587
-16.9133	64.9549	68.05	0.59	0.000	3776
-16.9152	64.9818	276.37	0.66	0.000	2526
-16.9172	65.0087	283.37	0.67	0.000	28713
-16.9191	65.0356	75.21	0.49	0.000	4825
-16.9210	65.0625	62.90	0.21	0.000	3467
-16.9230	65.0894	57.56	0.33	0.000	4345
-16.9249	65.1163	79.54	0.46	0.000	1828
-16.9269	65.1432	77.23	0.44	0.000	3680
-16.9288	65.1701	85.98	0.38	0.000	656
-16.9308	65.1970	70.63	0.64	0.000	63
-16.8480	64.9287	67.01	0.54	0.000	1764
-16.8498	64.9557	70.53	0.53	0.000	11750
-16.8517	64.9826	59.55	0.23	0.000	24917
-16.8536	65.0095	283.71	0.52	0.000	30340
-16.8554	65.0364	280.46	0.31	0.000	6571
-16.8573	65.0633	69.49	0.28	0.000	10257
-16.8592	65.0902	62.36	0.40	0.000	10343
-16.8611	65.1171	78.81	0.46	0.000	11943
-16.8629	65.1440	80.19	0.33	0.000	1698
-16.8648	65.1709	82.51	0.68	0.000	458
-16.8667	65.1978	32.51	0.33	0.084	24
-16.7846	64.9295	68.58	0.52	0.000	41717
-16.7864	64.9564	67.55	0.54	0.000	14062
-16.7882	64.9833	52.99	0.29	0.000	18446
-16.7900	65.0102	56.62	0.59	0.000	83023
-16.7918	65.0371	45.00	0.22	0.219	7878
-16.7936	65.0640	18.99	0.12	0.000	16172
-16.7954	65.0910	38.19	0.15	0.000	19300
-16.7972	65.1179	78.78	0.47	0.000	20687
-16.7990	65.1448	281.34	0.40	0.000	13288
-16.8008	65.1717	68.22	0.71	0.000	774
-16.7211	64.9303	71.38	0.46	0.000	4334
-16.7229	64.9572	66.94	0.54	0.000	38562
-16.7246	64.9841	65.11	0.57	0.000	47129
-16.7263	65.0110	62.19	0.53	0.000	107318
-16.7281	65.0379	356.02	0.02	0.689	29085
-16.7298	65.0648	61.83	0.24	0.000	37184
-16.7316	65.0917	70.56	0.31	0.000	22839
-16.7333	65.1186	73.03	0.43	0.000	12528
-16.7351	65.1455	64.34	0.25	0.000	5883
-16.7368	65.1724	87.60	0.55	0.000	343
-16.6577	64.9310	43.21	0.71	0.000	15674
-16.6594	64.9579	43.03	0.71	0.000	36828
-16.6611	64.9848	40.10	0.55	0.000	56943
-16.6627	65.0117	44.39	0.55	0.000	167455
-16.6644	65.0386	276.97	0.49	0.000	156055
-16.6661	65.0655	86.53	0.45	0.000	64779
-16.6678	65.0924	275.13	0.26	0.000	24769
-16.6695	65.1193	288.40	0.39	0.000	20973
-16.6711	65.1462	286.56	0.35	0.000	20406
-16.6728	65.1731	303.17	0.20	0.414	628
-16.6745	65.2001	89.00	1.00	0.003	6
-16.5943	64.9317	279.54	0.73	0.042	7
-16.5959	64.9586	44.77	0.57	0.000	1959
-16.5975	64.9855	36.20	0.48	0.000	10125
-16.5991	65.0124	33.90	0.64	0.000	66525
-16.6007	65.0393	50.49	0.75	0.000	125693
-16.6023	65.0662	81.43	0.45	0.000	107815
-16.6040	65.0931	51.85	0.61	0.000	109140
-16.6056	65.1200	54.78	0.62	0.000	57493
-16.6072	65.1469	74.81	0.53	0.000	3995
-16.6088	65.1738	63.76	0.57	0.000	1723
-16.6105	65.2008	68.07	0.81	0.002	10
-16.5324	64.9593	29.99	0.61	0.000	350
-16.5339	64.9862	36.07	0.56	0.000	14924
-16.5355	65.0131	37.04	0.56	0.000	24386
-16.5370	65.0400	68.80	0.76	0.000	96088
-16.5386	65.0669	61.76	0.67	0.000	77639
-16.5401	65.0938	63.18	0.75	0.000	53194
-16.5417	65.1207	57.61	0.70	0.000	47233
-16.5433	65.1476	80.16	0.21	0.000	38519
-16.5448	65.1745	63.84	0.21	0.000	10832
-16.5464	65.2014	283.00	1.00	0.056	3
-16.4704	64.9868	29.99	0.88	0.000	35
-16.4719	65.0137	46.24	0.34	0.000	1236
-16.4733	65.0406	69.63	0.76	0.000	5544
-16.4748	65.0675	58.40	0.44	0.000	10877
-16.4763	65.0944	52.63	0.40	0.000	13576
-16.4778	65.1213	89.01	0.73	0.000	12042
-16.4793	65.1483	86.75	0.80	0.000	21162
-16.4808	65.1752	84.52	0.47	0.000	40616
-16.4823	65.2021	278.62	0.95	0.025	5
