longitude,latitude,direction
-17.580049387653425,64.50933024106057,-90.2985300239092
-17.581742971409625,64.52725879430723,-90.1188995159417
-17.58343903148192,64.54518727966088,-92.91265554155204
-17.58513757307852,64.56311569709355,-97.6093965652576
-17.5868386014223,64.58104404657705,-103.5637379846616
-17.588542121750862,64.59897232808308,-109.698364374245
-17.59024813931658,64.6169005415832,-114.5149490500223
-17.591956659386664,64.63482868704895,-117.15792353870636
-17.593667687243197,64.65275676445158,-118.0735119413698
-17.595381228183193,64.67068477376235,-118.28573103739863
-17.597097287518665,64.68861271495228,-118.54438220870672
-17.598815870576647,64.70654058799235,-119.18097766529152
-17.600536982699282,64.72446839285338,-120.29306765296572
-17.602260629243837,64.74239612950606,-121.892932257517
-17.603986815582793,64.7603237979209,-123.97338264078056
-17.60571554710388,64.77825139806836,-126.5311658792408
-17.607446829210136,64.79617892991874,-129.57653790375056
-17.60918066731996,64.81410639344217,-133.14154831277114
-17.610917066867156,64.8320337886087,-137.2927957914322
-17.612656033301015,64.84996111538823,-142.1530943562333
-17.614397572086332,64.8678883737505,-147.93667292731257
-17.616141688703507,64.88581556366515,-154.9959527224718
-17.617888388648556,64.90374268510166,-163.83188449394922
-17.619637677433193,64.92166973802938,-174.85361263111378
-17.621389560584884,64.93959672241758,172.43609828930116
-17.623144043646896,64.9575236382353,159.9398841425228
-17.624901132178344,64.97545048545147,149.3962451440128
-17.626660831754283,64.99337726403493,141.09063901071863
-17.62842314796572,65.01130397395436,-45.45241201481308
-17.630188086419704,65.02923061517822,-50.73671053526744
-17.631955652739368,65.047157187675,-55.11328241222888
-17.633725852563995,65.06508369141291,-58.800432880979
-17.63549869154907,65.08301012636004,-61.92437204880388
-17.637274175366336,65.10093649248438,-64.54280562564719
-17.639052309703857,65.11886278975379,-66.6475340637907
-17.640833100266082,65.13678901813589,-68.13987696746598
-17.642616552773887,65.15471517759826,-68.75223828070382
-17.644402672964656,65.17264126810832,-67.8254508759184
-17.646191466592327,65.1905672896333,-63.66268195292853
-17.647982939427447,65.20849324214032,-52.40904354050964
-17.649777097257246,65.22641912559635,145.3987809312552
-17.65157394588568,65.2443449399682,156.7230054671555
-17.65337349113352,65.26227068522259,160.99018841138593
-17.655175738838373,65.28019636132596,162.08074820995878
-17.656980694854784,65.29812196824476,161.7262343869592
-17.658788365054257,65.31604750594522,160.6274765915699
-17.66059875532535,65.33397297439339,159.1042472478418
-17.66241187157372,65.35189837355522,157.3215417985085
-17.664227719722195,65.3698237033965,155.37381849524616
-17.666046305710818,65.38774896388286,153.32001621763894
-17.667867635496933,65.40567415497978,151.19960919665138
-17.669691715055226,65.4235992766526,149.0405939897201
-17.67151855037781,65.44152432886649,146.8637473809155
-17.67334814747426,65.45944931158645,144.68503804791231
-17.675180512371718,65.47737422477742,142.5170687161047
-17.677015651114903,65.49529906840405,140.36998121208802
-17.678853569766233,65.51322384243092,138.25204837681594
-17.680694274405845,65.53114854682245,136.17007426554557
-17.68253777113167,65.54907318154287,134.12967173519883
-17.68438406605953,65.56699774655631,132.13545895163122
-17.538440981491206,64.51005360167382,-123.73063107292798
-17.54010732503238,64.52798273561547,-105.3928583386156
-17.541776105202015,64.54591180242583,-97.18113823013329
-17.54344732712526,64.56384080207852,-97.10586702925536
-17.54512099594172,64.5817697345469,-101.13035523487564
-17.546797116805465,64.59969859980437,-106.7089572380346
-17.54847569488513,64.61762739782412,-111.03958864943324
-17.55015673536393,64.63555612857928,-112.95756394708616
-17.551840243439727,64.65348479204273,-113.51976869777404
-17.553526224325076,64.67141338818742,-113.8670672008548
-17.55521468324729,64.689341916986,-114.45764405754318
-17.556905625448472,64.70727037841107,-115.3984578955346
-17.55859905618558,64.72519877243512,-116.70175850276703
-17.56029498073049,64.74312709903049,-118.36654199508226
-17.56199340437001,64.7610553581694,-120.3942060320853
-17.563694332405973,64.77898354982392,-122.78917917829313
-17.56539777015529,64.79691167396606,-125.55934067832526
-17.567103722949962,64.81483973056764,-128.7200049673434
-17.56881219613718,64.83276771960037,-132.30334806056305
-17.570523195079353,64.85069564103581,-136.37729113824685
-17.57223672515417,64.86862349484545,-141.08499944433024
-17.57395279175466,64.8865512810006,-146.7361837069941
-17.575671400289227,64.90447899947246,-154.03945759097806
-17.57739255618172,64.92240665023205,-164.68973377262577
-17.579116264871505,64.94033423325037,178.15216536916358
-17.58084253181348,64.95826174849819,156.400392434386
-17.582571362478163,64.97618919594616,140.43283964283734
-17.584302762351726,64.99411657556483,-49.35623530481436
-17.586036736936073,65.01204388732464,-56.04392049666608
-17.587773291748874,65.02997113119575,-61.16728842783669
-17.58951243232365,65.04789830714842,-65.39555061639149
-17.591254164209797,65.06582541515259,-69.05127701198538
-17.59299849297265,65.08375245517811,-72.31159400169346
-17.59474542419358,65.10167942719474,-75.28661610168754
-17.596494963469983,65.11960633117206,-78.0522858963585
-17.598247116415397,65.13753316707954,-80.6648216024278
-17.600001888659534,65.15545993488644,-83.16682408992192
-17.60175928584834,65.17338663456201,-85.58832372845525
-17.603519313644046,65.19131326607521,-87.94005433209168
-17.60528197772525,65.209239829395,-90.16415319214389
-17.607047283786965,65.22716632449016,-90.53676690521186
-17.608815237540654,65.24509275132922,174.0297233095209
-17.610585844714326,65.26301910988074,171.91334601398157
-17.61235911105258,65.28094540011303,169.5432273234315
-17.614135042316658,65.29887162199425,167.10201044408373
-17.615913644284518,65.3167977754925,164.6236436771602
-17.617694922750893,65.33472386057566,162.12298949658316
-17.619478883527343,65.35264987721152,159.6106070830646
-17.621265532442315,65.37057582536765,157.0957562326812
-17.623054875341218,65.38850170501158,154.58707477659544
-17.624846918086483,65.40642751611058,152.09267210668273
-17.626641666557603,65.42435325863188,149.62008372672742
-17.628439126651223,65.4422789325425,147.17621770006406
-17.63023930428118,65.46020453780928,144.7673281589286
