# @VGMT1.0 @GMULTILINESTRING
# @R-16.8742535489/-16.657581527/65.0095091627/65.1158027901              
# @Je4326
# @Jp"+proj=longlat +datum=WGS84 +no_defs "
# @Jw"GEOGCS[\"WGS 84\",DATUM[\"WGS_1984\",SPHEROID[\"WGS 84\",6378137,298.257223563,AUTHORITY[\"EPSG\",\"7030\"]],AUTHORITY[\"EPSG\",\"6326\"]],PRIMEM[\"Greenwich\",0,AUTHORITY[\"EPSG\",\"8901\"]],UNIT[\"degree\",0.0174532925199433,AUTHORITY[\"EPSG\",\"9122\"]],AUTHORITY[\"EPSG\",\"4326\"]]"
# @Nid
# @Tinteger
# FEATURE_DATA
>
# @D1
-16.873788446364035 65.043928025065171
-16.87425354891592 65.042462791780906
-16.873326635754047 65.040977772540685
-16.873119191920146 65.039208609376942
-16.872888351620624 65.037733481402114
-16.873365104523508 65.036121231558766
-16.872915185567511 65.033023956314423
-16.871316375136473 65.031234987616898
-16.868975178967236 65.030024158926707
-16.867306379917942 65.029117253669156
-16.865036056997845 65.027024256489469
-16.862695514310875 65.025813328783158
-16.862359487710616 65.025661338588137
-16.861374970745196 65.024911328803938
-16.85941788251677 65.023264272347348
-16.85503869068015 65.021435261137427
-16.852015476113046 65.020067166424397
-16.849340267426893 65.018704014196871
-16.846689026101103 65.017046781192647
-16.845393163424134 65.015850606297988
-16.841328153843996 65.014467252854772
-16.838318320281672 65.012951863896802
-16.833546999113508 65.011705254206788
-16.82975919311475 65.011208717819258
-16.828728351029923 65.011046552135227
-16.824940727847661 65.010549893593392
-16.820086529389073 65.01033195703225
-16.815244427032862 65.009966848851278
-16.811037399472536 65.010346838358856
-16.808592285140648 65.010458184145222
>
# @D1
-16.68196977036952 65.106140566089053
-16.683883611032215 65.108230920127269
-16.684530146562675 65.108829698596594
-16.686521018254663 65.110038012664575
-16.689933072337336 65.110973800470305
-16.695362318078008 65.112823703465651
-16.702213376925425 65.114400793653871
-16.710511576313024 65.115410870602801
-16.720281728579039 65.115559687018703
-16.730051989797779 65.115707867286289
-16.736332929327247 65.115802790099508
-16.745430376560872 65.11564542492151
-16.75318157829556 65.114878580038621
-16.758838785999338 65.114080066165215
-16.767960160559902 65.113627320927094
-16.776358837242512 65.113457693678413
-16.785455244769679 65.113297901854637
-16.796742382504281 65.111992247436305
-16.805188832530707 65.111232965579788
-16.813586515422067 65.111061254453375
-16.819192937564676 65.110848511215721
-16.824823288965071 65.110341533496836
