# lon	lat	azimuth	mean_resultant_vector	p_rayleigh	num_measurements
-16.9543	64.9364	65.79	0.58	0.000	4323
-16.9576	64.9812	283.23	0.65	0.000	26290
-16.9609	65.0260	70.18	0.53	0.000	7923
-16.9642	65.0709	57.52	0.33	0.000	3869
-16.9675	65.1157	79.77	0.47	0.000	1446
-16.9708	65.1606	87.09	0.32	0.555	1256
-16.9742	65.2054	82.15	0.41	0.973	113
-16.8486	64.9377	67.17	0.54	0.000	15271
-16.8517	64.9826	70.49	0.48	0.000	59576
-16.8548	65.0274	284.67	0.20	0.000	51791
-16.8579	65.0722	38.00	0.15	0.000	28948
-16.8611	65.1171	77.21	0.44	0.000	29941
-16.8642	65.1619	77.80	0.49	0.000	6311
-16.8674	65.2068	57.33	0.36	0.993	62
-16.7429	64.9390	68.66	0.52	0.000	76178
-16.7458	64.9838	56.52	0.60	0.000	136399
-16.7487	65.0287	12.01	0.02	0.000	142555
-16.7517	65.0735	61.35	0.23	0.000	74284
-16.7546	65.1184	76.87	0.47	0.000	45788
-16.7576	65.1632	80.26	0.41	0.000	6899
-16.6371	64.9402	43.21	0.71	0.000	40962
-16.6399	64.9850	40.09	0.55	0.000	118716
-16.6426	65.0299	87.74	0.42	0.000	407224
-16.6454	65.0747	82.19	0.42	0.000	218266
-16.6482	65.1196	86.28	0.21	0.000	51954
-16.6509	65.1644	286.54	0.35	0.000	17339
-16.6537	65.2093	77.67	0.83	1.076	16
-16.5314	64.9413	23.77	0.54	0.337	297
-16.5339	64.9862	36.08	0.56	0.000	35088
-16.5365	65.0310	66.00	0.70	0.000	177304
-16.5391	65.0759	55.39	0.45	0.000	179773
-16.5417	65.1207	54.75	0.63	0.000	175324
-16.5443	65.1656	84.50	0.47	0.000	92307
-16.5469	65.2104	279.25	0.96	0.001	8
-16.4304	65.0321	73.23	0.36	0.701	236
-16.4328	65.0769	65.57	0.61	0.000	1290
-16.4352	65.1218	277.67	0.66	0.000	827
-16.4376	65.1666	83.80	0.86	0.000	331
