# Columns: lon, lat, SWA_source_to_station_geometric_mean, num_nodes
-16.5339, 65.1701, 1.62, 9431
-16.5349, 65.1881, 1.34, 317
-16.5360, 65.2060, 3.60, 2
-16.4802, 64.9732, 2.34, 1
-16.4812, 64.9912, 3.43, 34
-16.4822, 65.0091, 2.56, 547
-16.4832, 65.0271, 2.15, 1859
-16.4842, 65.0450, 2.65, 4374
-16.4852, 65.0629, 2.94, 6675
-16.4862, 65.0809, 2.78, 10972
-16.4872, 65.0988, 2.10, 6806
-16.4882, 65.1168, 1.81, 7579
-16.4892, 65.1347, 1.70, 9547
-16.4902, 65.1526, 1.47, 16078
-16.4912, 65.1706, 1.53, 30709
-16.4922, 65.1885, 1.52, 9912
