# Columns: lon, lat, tlag_weighted_mean, num_nodes
-16.9543, 64.9364, 0.110, 4323
-16.9576, 64.9812, 0.086, 26290
-16.9609, 65.0260, 0.104, 7923
-16.9642, 65.0709, 0.136, 3869
-16.9675, 65.1157, 0.169, 1446
-16.9708, 65.1606, 0.148, 1256
-16.9742, 65.2054, 0.094, 113
-16.8486, 64.9377, 0.097, 15271
-16.8517, 64.9826, 0.103, 59576
-16.8548, 65.0274, 0.103, 51791
-16.8579, 65.0722, 0.127, 28948
-16.8611, 65.1171, 0.138, 29941
-16.8642, 65.1619, 0.127, 6311
-16.8674, 65.2068, 0.108, 62
-16.7429, 64.9390, 0.134, 76178
-16.7458, 64.9838, 0.100, 136399
-16.7487, 65.0287, 0.101, 142555
-16.7517, 65.0735, 0.121, 74284
-16.7546, 65.1184, 0.114, 45788
-16.7576, 65.1632, 0.113, 6899
-16.6371, 64.9402, 0.148, 40962
-16.6399, 64.9850, 0.132, 118716
-16.6426, 65.0299, 0.111, 407224
-16.6454, 65.0747, 0.126, 218266
-16.6482, 65.1196, 0.145, 51954
-16.6509, 65.1644, 0.128, 17339
-16.6537, 65.2093, 0.073, 16
-16.5314, 64.9413, 0.114, 297
-16.5339, 64.9862, 0.134, 35088
-16.5365, 65.0310, 0.102, 177304
-16.5391, 65.0759, 0.105, 179773
-16.5417, 65.1207, 0.110, 175324
-16.5443, 65.1656, 0.106, 92307
-16.5469, 65.2104, 0.088, 8
-16.4304, 65.0321, 0.093, 236
-16.4328, 65.0769, 0.110, 1290
-16.4352, 65.1218, 0.108, 827
-16.4376, 65.1666, 0.083, 331
