# Columns: lon, lat, tlag_weighted_mean, num_nodes
-16.9937, 65.0391, 0.230, 12
-16.9951, 65.0570, 0.212, 16
-16.9964, 65.0749, 0.170, 21
-16.9977, 65.0929, 0.212, 16
-16.9991, 65.1108, 0.176, 39
-17.0004, 65.1287, 0.197, 33
-17.0018, 65.1467, 0.223, 15
-17.0031, 65.1646, 0.252, 7
-17.0045, 65.1826, 0.187, 33
-17.0059, 65.2005, 0.101, 6
-16.9434, 64.9320, 0.109, 2247
-16.9447, 64.9500, 0.113, 384
-16.9460, 64.9679, 0.126, 57
-16.9473, 64.9858, 0.097, 33
-16.9486, 65.0038, 0.088, 19998
-16.9500, 65.0217, 0.089, 1479
-16.9513, 65.0396, 0.128, 1068
-16.9526, 65.0576, 0.146, 159
-16.9539, 65.0755, 0.137, 758
-16.9552, 65.0934, 0.176, 293
-16.9565, 65.1114, 0.181, 302
-16.9578, 65.1293, 0.188, 341
-16.9592, 65.1472, 0.172, 385
-16.9605, 65.1652, 0.145, 348
-16.9618, 65.1831, 0.094, 162
-16.9631, 65.2010, 0.059, 5
-16.9012, 64.9326, 0.111, 109
-16.9024, 64.9505, 0.109, 3336
-16.9037, 64.9684, 0.120, 83
-16.9050, 64.9864, 0.120, 2418
-16.9063, 65.0043, 0.089, 17548
-16.9075, 65.0222, 0.102, 2153
-16.9088, 65.0402, 0.096, 2485
-16.9101, 65.0581, 0.116, 1438
-16.9114, 65.0761, 0.136, 4467
-16.9127, 65.0940, 0.121, 945
-16.9140, 65.1119, 0.142, 644
-16.9153, 65.1299, 0.161, 3945
-16.9165, 65.1478, 0.134, 349
-16.9178, 65.1657, 0.122, 382
-16.9191, 65.1837, 0.112, 81
-16.9204, 65.2016, 0.049, 6
-16.8589, 64.9331, 0.084, 753
-16.8601, 64.9510, 0.094, 4842
-16.8614, 64.9690, 0.110, 2451
-16.8626, 64.9869, 0.118, 15798
-16.8639, 65.0048, 0.090, 18720
-16.8651, 65.0228, 0.137, 2564
-16.8664, 65.0407, 0.123, 3192
-16.8676, 65.0587, 0.135, 4058
-16.8689, 65.0766, 0.115, 4511
-16.8701, 65.0945, 0.128, 3252
-16.8714, 65.1125, 0.156, 4174
-16.8727, 65.1304, 0.153, 3959
-16.8739, 65.1483, 0.118, 337
-16.8752, 65.1663, 0.131, 261
-16.8765, 65.1842, 0.116, 89
-16.8777, 65.2021, 0.030, 1
-16.8154, 64.9157, 0.126, 155
-16.8166, 64.9336, 0.125, 1590
-16.8178, 64.9516, 0.089, 6178
-16.8190, 64.9695, 0.105, 5780
-16.8202, 64.9874, 0.111, 11822
-16.8215, 65.0054, 0.084, 30879
-16.8227, 65.0233, 0.151, 4015
-16.8239, 65.0412, 0.158, 3025
-16.8251, 65.0592, 0.144, 4298
-16.8264, 65.0771, 0.120, 7734
-16.8276, 65.0951, 0.134, 6500
-16.8288, 65.1130, 0.129, 7887
-16.8301, 65.1309, 0.110, 4414
-16.8313, 65.1489, 0.127, 4596
-16.8325, 65.1668, 0.136, 657
-16.8338, 65.1847, 0.165, 22
-16.7731, 64.9162, 0.132, 15661
-16.7743, 64.9341, 0.128, 25322
-16.7755, 64.9521, 0.135, 6277
-16.7767, 64.9700, 0.097, 7811
-16.7779, 64.9879, 0.108, 8216
-16.7791, 65.0059, 0.075, 53612
-16.7803, 65.0238, 0.136, 8311
-16.7814, 65.0418, 0.184, 3494
-16.7826, 65.0597, 0.153, 5404
-16.7838, 65.0776, 0.127, 11557
-16.7850, 65.0956, 0.116, 8758
-16.7863, 65.1135, 0.122, 10360
-16.7875, 65.1314, 0.114, 8199
-16.7887, 65.1494, 0.124, 3690
-16.7899, 65.1673, 0.120, 218
-16.7911, 65.1852, 0.240, 8
-16.7309, 64.9167, 0.186, 274
-16.7320, 64.9346, 0.180, 3767
-16.7332, 64.9526, 0.128, 21927
-16.7343, 64.9705, 0.121, 23226
-16.7355, 64.9884, 0.111, 15590
-16.7367, 65.0064, 0.076, 49343
-16.7378, 65.0243, 0.113, 20786
-16.7390, 65.0423, 0.165, 7954
-16.7402, 65.0602, 0.123, 12618
-16.7413, 65.0781, 0.109, 18132
-16.7425, 65.0961, 0.122, 11188
-16.7437, 65.1140, 0.104, 6499
-16.7449, 65.1319, 0.103, 4393
-16.7460, 65.1499, 0.098, 1527
-16.7472, 65.1678, 0.118, 206
-16.7484, 65.1858, 0.240, 8
-16.6886, 64.9172, 0.220, 1
-16.6897, 64.9351, 0.148, 14535
-16.6909, 64.9531, 0.150, 20733
-16.6920, 64.9710, 0.149, 22650
-16.6931, 64.9889, 0.131, 32089
-16.6943, 65.0069, 0.102, 61270
-16.6954, 65.0248, 0.105, 71184
-16.6965, 65.0427, 0.124, 24322
-16.6977, 65.0607, 0.123, 17221
-16.6988, 65.0786, 0.124, 13331
-16.7000, 65.0966, 0.130, 7022
-16.7011, 65.1145, 0.127, 5647
-16.7023, 65.1324, 0.105, 4502
-16.7034, 65.1504, 0.087, 3592
