# Columns: lon, lat, tlag_weighted_mean, num_nodes
-16.7046, 65.1683, 0.118, 241
-16.7057, 65.1862, 0.229, 20
-16.6474, 64.9356, 0.155, 1431
-16.6485, 64.9535, 0.153, 6662
-16.6496, 64.9715, 0.153, 7496
-16.6507, 64.9894, 0.119, 29089
-16.6518, 65.0073, 0.113, 40940
-16.6530, 65.0253, 0.111, 101029
-16.6541, 65.0432, 0.120, 83085
-16.6552, 65.0612, 0.126, 43017
-16.6563, 65.0791, 0.146, 15623
-16.6574, 65.0970, 0.146, 11419
-16.6585, 65.1150, 0.147, 11025
-16.6596, 65.1329, 0.152, 11121
-16.6608, 65.1508, 0.149, 11484
-16.6619, 65.1688, 0.098, 471
-16.6630, 65.1867, 0.220, 31
-16.6051, 64.9360, 0.185, 7
-16.6062, 64.9540, 0.155, 543
-16.6073, 64.9719, 0.166, 2627
-16.6084, 64.9899, 0.141, 6509
-16.6094, 65.0078, 0.131, 31785
-16.6105, 65.0257, 0.100, 47299
-16.6116, 65.0437, 0.100, 45177
-16.6127, 65.0616, 0.118, 52488
-16.6138, 65.0796, 0.126, 57341
-16.6149, 65.0975, 0.133, 33968
-16.6160, 65.1154, 0.145, 6938
-16.6170, 65.1334, 0.131, 2521
-16.6181, 65.1513, 0.084, 1752
-16.6192, 65.1692, 0.085, 967
-16.6203, 65.1872, 0.182, 37
-16.6214, 65.2051, 0.060, 2
-16.5639, 64.9544, 0.114, 278
-16.5649, 64.9724, 0.150, 824
-16.5660, 64.9903, 0.143, 8812
-16.5670, 65.0083, 0.135, 18084
-16.5681, 65.0262, 0.100, 30212
-16.5691, 65.0441, 0.099, 74632
-16.5702, 65.0621, 0.103, 44830
-16.5713, 65.0800, 0.102, 32310
-16.5723, 65.0979, 0.115, 54243
-16.5734, 65.1159, 0.123, 61928
-16.5744, 65.1338, 0.140, 7710
-16.5755, 65.1518, 0.090, 1715
-16.5766, 65.1697, 0.079, 1736
-16.5776, 65.1876, 0.137, 76
-16.5216, 64.9549, 0.118, 19
-16.5226, 64.9728, 0.101, 67
-16.5236, 64.9908, 0.128, 7679
-16.5246, 65.0087, 0.119, 8870
-16.5256, 65.0266, 0.110, 13287
-16.5267, 65.0446, 0.102, 43346
-16.5277, 65.0625, 0.112, 28034
-16.5287, 65.0805, 0.105, 26650
-16.5298, 65.0984, 0.088, 17924
-16.5308, 65.1163, 0.084, 17957
-16.5318, 65.1343, 0.102, 24049
-16.5329, 65.1522, 0.121, 22670
-16.5339, 65.1701, 0.125, 9431
-16.5349, 65.1881, 0.108, 317
-16.5360, 65.2060, 0.075, 2
-16.4802, 64.9732, 0.113, 1
-16.4812, 64.9912, 0.107, 34
-16.4822, 65.0091, 0.090, 547
-16.4832, 65.0271, 0.109, 1859
-16.4842, 65.0450, 0.101, 4374
-16.4852, 65.0629, 0.105, 6675
-16.4862, 65.0809, 0.109, 10972
-16.4872, 65.0988, 0.097, 6806
-16.4882, 65.1168, 0.095, 7579
-16.4892, 65.1347, 0.092, 9547
-16.4902, 65.1526, 0.088, 16078
-16.4912, 65.1706, 0.100, 30709
-16.4922, 65.1885, 0.104, 9912
