# lon	lat	azimuth	mean_resultant_vector	p_rayleigh	num_measurements
-16.6485	64.9535	37.58	0.58	0.000	6662
-16.6496	64.9715	37.65	0.57	0.000	7496
-16.6507	64.9894	40.09	0.55	0.000	29089
-16.6518	65.0073	39.58	0.70	0.000	40940
-16.6530	65.0253	59.43	0.33	0.000	101029
-16.6541	65.0432	276.98	0.49	0.000	83085
-16.6552	65.0612	87.19	0.46	0.000	43017
-16.6563	65.0791	81.17	0.27	0.000	15623
-16.6574	65.0970	283.93	0.30	0.000	11419
-16.6585	65.1150	287.91	0.40	0.000	11025
-16.6596	65.1329	294.66	0.46	0.000	11121
-16.6608	65.1508	286.62	0.35	0.000	11484
-16.6619	65.1688	306.39	0.21	0.350	471
-16.6630	65.1867	304.11	0.61	0.880	31
-16.6051	64.9360	279.54	0.73	0.978	7
-16.6062	64.9540	39.49	0.59	0.000	543
-16.6073	64.9719	45.68	0.54	0.000	2627
-16.6084	64.9899	36.59	0.48	0.000	6509
-16.6094	65.0078	36.87	0.43	0.000	31785
-16.6105	65.0257	57.69	0.52	0.000	47299
-16.6116	65.0437	50.32	0.75	0.000	45177
-16.6127	65.0616	270.80	0.52	0.000	52488
-16.6138	65.0796	49.93	0.53	0.000	57341
-16.6149	65.0975	50.08	0.55	0.000	33968
-16.6160	65.1154	72.92	0.41	0.000	6938
-16.6170	65.1334	86.14	0.19	0.000	2521
-16.6181	65.1513	76.88	0.50	0.000	1752
-16.6192	65.1692	61.01	0.54	0.000	967
-16.6203	65.1872	86.61	0.31	0.952	37
-16.6214	65.2051	68.21	0.81	-1.047	2
-16.5639	64.9544	22.18	0.54	0.371	278
-16.5649	64.9724	36.67	0.40	0.047	824
-16.5660	64.9903	34.40	0.58	0.000	8812
-16.5670	65.0083	34.44	0.56	0.000	18084
-16.5681	65.0262	33.92	0.65	0.000	30212
-16.5691	65.0441	63.68	0.76	0.000	74632
-16.5702	65.0621	68.68	0.48	0.000	44830
-16.5713	65.0800	61.95	0.72	0.000	32310
-16.5723	65.0979	55.83	0.68	0.000	54243
-16.5734	65.1159	54.74	0.63	0.000	61928
-16.5744	65.1338	40.23	0.22	0.000	7710
-16.5755	65.1518	70.52	0.60	0.000	1715
-16.5766	65.1697	67.40	0.64	0.000	1736
-16.5776	65.1876	277.98	0.46	0.291	76
-16.5216	64.9549	40.55	0.68	1.026	19
-16.5226	64.9728	29.44	0.86	0.002	67
-16.5236	64.9908	36.09	0.56	0.000	7679
-16.5246	65.0087	40.32	0.55	0.000	8870
-16.5256	65.0266	45.88	0.47	0.000	13287
-16.5267	65.0446	68.82	0.76	0.000	43346
-16.5277	65.0625	73.50	0.60	0.000	28034
-16.5287	65.0805	61.28	0.67	0.000	26650
-16.5298	65.0984	67.55	0.61	0.000	17924
-16.5308	65.1163	73.91	0.68	0.000	17957
-16.5318	65.1343	75.29	0.45	0.000	24049
-16.5329	65.1522	82.29	0.17	0.000	22670
-16.5339	65.1701	62.96	0.16	0.000	9431
-16.5349	65.1881	64.29	0.51	0.000	317
-16.5360	65.2060	283.00	1.00	0.952	2
-16.4802	64.9732	55.00	1.00	-8.925	1
-16.4812	64.9912	29.90	0.88	0.205	34
-16.4822	65.0091	32.65	0.41	0.039	547
-16.4832	65.0271	67.71	0.48	0.001	1859
-16.4842	65.0450	69.74	0.78	0.000	4374
-16.4852	65.0629	74.29	0.67	0.000	6675
-16.4862	65.0809	52.62	0.40	0.000	10972
-16.4872	65.0988	83.00	0.34	0.000	6806
-16.4882	65.1168	89.13	0.71	0.000	7579
-16.4892	65.1347	88.78	0.79	0.000	9547
-16.4902	65.1526	86.50	0.80	0.000	16078
-16.4912	65.1706	85.82	0.48	0.000	30709
-16.4922	65.1885	84.49	0.47	0.000	9912
